"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi","roi2","roi3","cutoff"
"478","ALLJURECZKO","ALLJURECZKO-synapse-1.1","ALLJURECZKO-synapse-1.1_wholeProject.csv","30","34","128","30","0.483870967741935","0.61244019138756","0.209876543209877","0.598175027185476","0.288288288288288","0.5","0.284444437576916","5","0.00092109034948617","1.01275521768438","0.0317094670198542","0.0225225225225225","0.0408964115171859","0.0303494703328768",1.734375,1.12807826623435,1.20404402137719,60
"479","ALLJURECZKO","ALLJURECZKO-synapse-1.2","ALLJURECZKO-synapse-1.2_wholeProject.csv","47","21","149","39","0.61038961038961","0.673235916169967","0.123529411764706","0.596560747663551","0.265625","0.546511627906977","0.452337312720644","0","0","1.54495179702581","0","0","0","0",2.05745554035568,1.26773524008713,1.37289586128225,60
"480","ALLJURECZKO","ALLJURECZKO-systemdata","ALLJURECZKO-systemdata_wholeProject.csv","3","9","47","6","0.285714285714286","0.477157360406091","0.160714285714286","0.490447509876303","0.184615384615385","0.333333333333333","0.153665164982245","2","0.00208834621113619","0.341055794037697","0.0493202413155784","0.0307692307692308","0.067871251861926","0.0456984267906039",1.80555555555555,0.987562302870543,1.10776728091489,60
"481","ALLJURECZKO","ALLJURECZKO-szybkafucha","ALLJURECZKO-szybkafucha_wholeProject.csv","3","7","4","11","0.25","0.269662921348315","0.636363636363636","0.561780104712042","0.4","0.214285714285714","-0.42766860172385","0","0","3.13765824891629","0","0","0","0",0.535714285714285,0.445602301889726,0.45204330970665,60
"482","ALLJURECZKO","ALLJURECZKO-termoproject","ALLJURECZKO-termoproject_wholeProject.csv","6","0","29","7","0.631578947368421","0.631578947368421","0","0.55795606262896","0.142857142857143","0.461538461538462","0.609749843620211","0","0","1.4697650756586","0","0","0","0",3.23076923076923,1.31715115504516,1.63477097248877,60
"483","ALLJURECZKO","ALLJURECZKO-tomcat","ALLJURECZKO-tomcat_wholeProject.csv","49","122","659","28","0.395161290322581","0.725542623466499","0.156209987195903","0.599030844037063","0.199300699300699","0.636363636363636","0.343537926188629","5","4.54301790632834e-05","0.315247044043868","0.00681166227738263","0.00582750582750583","0.00779581872725942","0.00674019132245394",3.19298245614035,1.59423397878793,1.8417316488766,60
"484","ALLJURECZKO","ALLJURECZKO-velocity-1.4","ALLJURECZKO-velocity-1.4_wholeProject.csv","33","7","42","114","0.352941176470588","0.355795148247978","0.142857142857143","0.487130895519502","0.204081632653061","0.224489795918367","0.0877058019307029","0","0","1.63577976600376","0","0","0","0",1.1,0.64955360838692,0.711986579761582,60
"485","ALLJURECZKO","ALLJURECZKO-velocity-1.5","ALLJURECZKO-velocity-1.5_wholeProject.csv","29","5","67","113","0.329545454545455","0.334942251335977","0.0694444444444444","0.429084887375096","0.158878504672897","0.204225352112676","0.174205990854164","0","0","1.19508543562195","0","0","0","0",1.2854183927092,0.694687304940257,0.782177776236822,60
"486","ALLJURECZKO","ALLJURECZKO-velocity-1.6","ALLJURECZKO-velocity-1.6_wholeProject.csv","32","24","127","46","0.477611940298507","0.551499525037318","0.158940397350993","0.509506770504455","0.244541484716157","0.41025641025641","0.277101496361383","1","2.5812385471901e-05","0.973993056549611","0.00513892425006978","0.00436681222707424","0.00591103627306532","0.00508058908709423",1.67765567765568,1.088143649736,1.16226222678496,60
"487","ALLJURECZKO","ALLJURECZKO-workflow","ALLJURECZKO-workflow_wholeProject.csv","5","2","17","15","0.37037037037037","0.390804597701149","0.105263157894737","0.582545454545455","0.179487179487179","0.25","0.188515420880559","2","0.00437606837606838","1.32459303819977","0.0683076923076923","0.0512820512820513","0.0853333333333333","0.0661518584475778",1.39285714285715,0.65613987862177,0.77314042768457,60
"488","ALLJURECZKO","ALLJURECZKO-wspomaganiepi","ALLJURECZKO-wspomaganiepi_wholeProject.csv","8","1","5","4","0.761904761904762","0.740740740740741","0.166666666666667","0.590853122251539","0.5","0.666666666666667","0.471404520791032","0","0","2.00039159431165","0","0","0","0",1.33333333333333,1.22228493106507,1.22654636961855,60
"489","ALLJURECZKO","ALLJURECZKO-xalan-2.4","ALLJURECZKO-xalan-2.4_wholeProject.csv","54","108","505","56","0.397058823529412","0.615214546767134","0.176182707993475","0.599165659653113","0.224066390041494","0.490909090909091","0.27109455356603","2","1.08025984046664e-05","0.409590103403186","0.00333569552609711","0.00276625172890733","0.00390513932328689","0.00328673065593553",2.19090909090909,1.19263843309114,1.33979779538282,60
"490","ALLJURECZKO","ALLJURECZKO-xalan-2.5","ALLJURECZKO-xalan-2.5_wholeProject.csv","164","112","304","223","0.494720965309201","0.536455194972885","0.269230769230769","0.599947516893","0.343711083437111","0.423772609819121","0.162587959094194","2","8.66820929746737e-06","0.716105198819601","0.00298547302891987","0.0024906600249066","0.00348028603293315","0.0029441822799323",1.23293262929259,0.898148143133283,0.933210216227946,60
"491","ALLJURECZKO","ALLJURECZKO-xalan-2.6","ALLJURECZKO-xalan-2.6_wholeProject.csv","260","253","221","151","0.562770562770563","0.536831238234044","0.533755274261603","0.596820300337351","0.579661016949153","0.632603406326034","0.0998730691410797","0","0","0.949493553250217","0","0","0","0",1.09133336179053,1.07541598329007,1.07553038802841,60
"492","ALLJURECZKO","ALLJURECZKO-xalan-2.7","ALLJURECZKO-xalan-2.7_wholeProject.csv","527","1","10","371","0.739130434782609","0.713270623265886","0.0909090909090909","0.596831211863121","0.580858085808581","0.586859688195991","0.109898933892127","0","0","1.48649531988141","0","0","0","0",1.01033230411014,0.996629058880327,0.996720740410965,60
"493","ALLJURECZKO","ALLJURECZKO-xerces-1.0","ALLJURECZKO-xerces-1.0_wholeProject.csv","14","9","76","63","0.28","0.302186878727634","0.105882352941176","0.577867677858859","0.141975308641975","0.181818181818182","0.10865012871495","3","0.00079223936121134","0.204347655066688","0.0306497220119654","0.0185185185185185","0.0427809255054124","0.0281467469028188",1.2806324110672,0.505160667611704,0.63477044536639,60
"494","ALLJURECZKO","ALLJURECZKO-xerces-1.2","ALLJURECZKO-xerces-1.2_wholeProject.csv","17","30","339","54","0.288135593220339","0.379869487838639","0.0813008130081301","0.598703957200447","0.106818181818182","0.23943661971831","0.188333410785551","1","4.66664459405615e-06","0.217679716492467","0.00216302544705599","0.00227272727272727","0.00205332362138471","0.00216024179064663",2.24153431225652,0.678750124131789,0.946807997338253,60
"495","ALLJURECZKO","ALLJURECZKO-xerces-1.3","ALLJURECZKO-xerces-1.3_wholeProject.csv","20","32","352","49","0.330578512396694","0.44044044044044","0.0833333333333333","0.587079206439451","0.114790286975717","0.289855072463768","0.23279951598387","2","5.31085441541067e-05","0.167034950671842","0.00822204814421638","0.00441501103752759","0.0120290852509052","0.00728756091940964",2.52508361204014,0.82595147725651,1.11655465075603,60
"496","ALLJURECZKO","ALLJURECZKO-xerces-1.4","ALLJURECZKO-xerces-1.4_wholeProject.csv","60","1","150","377","0.240963855421687","0.241254523522316","0.00662251655629139","0.591365632525854","0.103741496598639","0.137299771167048","0.187222900374471","0","0","0.895351199899788","0","0","0","0",1.32347976141352,0.395046361673721,0.55432634329185,60
"497","ALLJURECZKO","ALLJURECZKO-zuzel","ALLJURECZKO-zuzel_wholeProject.csv","8","2","14","5","0.695652173913043","0.72258064516129","0.125","0.599056930864711","0.344827586206897","0.615384615384615","0.513087818323278","0","0","0.784256967403858","0","0","0","0",1.78461538461538,1.30394048054489,1.35397792906732,60
"498","MDP","MDP-CM1","MDP-CM1_wholeProject.csv","25","102","200","17","0.29585798816568","0.626959247648903","0.337748344370861","0.598414795244386","0.369186046511628","0.595238095238095","0.174685290450217","5","0.000267742243795207","2.64430812214887","0.0164777750470202","0.0145348837209302","0.0184206663731102","0.0163628311668613",1.61229846269216,1.23033810958215,1.26638838265029,60
"499","MDP","MDP-JM1","MDP-JM1_wholeProject.csv","760","1718","6116","999","0.358744394618834","0.556270017192556","0.219300485065101","0.599952270808092","0.258313353486918","0.432063672541217","0.188097528031866","2","1.49262561997497e-07","5.03122582377831","0.000462211616262441","0.000208485353903888","0.000715937878620993","0.00038634513326493",1.6726339026182,1.00682972802533,1.09752892135176,60
"500","MDP","MDP-KC1","MDP-KC1_wholeProject.csv","141","290","1481","184","0.373015873015873","0.571301550128858","0.163749294184077","0.59828278541347","0.205629770992366","0.433846153846154","0.241893802682927","0","0","6.41270794165037","0","0","0","0",2.1098411565233,1.07933667757551,1.23691399197612,60
