"","community","source","target","tp","fp","tn","fn","f1","g1","pf","pci","pii","recall","mcc","ifa","ifap","mdd","ifap2","ifa_pii","ifa_pci","ifap3","roi2","roi3","cutoff","roi"
"717","Amasaki15","Amasaki15-NB","ALLJURECZKO-log4j-1.0.csv",28,75,26,6,0.408759124087591,0.392241379310345,0.742574257425743,0.799062601512831,0.762962962962963,0.823529411764706,0.0826325298153629,0,0,1.56861945504907,0,0,0,0,1.05443781522369,1.05471952013725,80,1.07938320959452
"718","Amasaki15","Amasaki15-NB","ALLJURECZKO-log4j-1.1.csv",30,53,19,7,0.5,0.398183723367097,0.736111111111111,0.799127294613301,0.761467889908257,0.810810810810811,0.0829965893652575,0,0,1.86833071639328,0,0,0,0,1.03910459144392,1.0394072725909,80,1.06479973949853
"719","Amasaki15","Amasaki15-NB","ALLJURECZKO-log4j-1.2.csv",148,12,4,41,0.848137535816619,0.379001280409731,0.75,0.799952868476866,0.780487804878049,0.783068783068783,0.0214310208280683,0,0,3.05983358011213,0,0,0,0,0.99094992462641,0.99102509148206,80,1.00330687830688
"720","Amasaki15","Amasaki15-NB","ALLJURECZKO-lucene-2.0.csv",78,66,38,13,0.663829787234043,0.512359550561798,0.634615384615385,0.799450549450549,0.738461538461539,0.857142857142857,0.252612401140728,0,0,1.43891412104529,0,0,0,0,1.11468381564845,1.11556137093045,80,1.16071428571428
"721","Amasaki15","Amasaki15-NB","ALLJURECZKO-lucene-2.2.csv",99,54,49,45,0.666666666666667,0.562336984872196,0.524271844660194,0.799169432602916,0.619433198380567,0.6875,0.165762118611168,0,0,1.31919793080046,0,0,0,0,0.969263675372395,0.977138289532238,80,1.10988562091503
"722","Amasaki15","Amasaki15-NB","ALLJURECZKO-lucene-2.4.csv",153,80,57,50,0.701834862385321,0.536149022500922,0.583941605839416,0.799657783956679,0.685294117647059,0.753694581280788,0.179289909722546,0,0,1.23153220727175,0,0,0,0,1.0151097560356,1.01813368509408,80,1.09981183534536
"723","Amasaki15","Amasaki15-NB","ALLJURECZKO-nieruchomosci.csv",9,6,11,1,0.72,0.752851711026616,0.352941176470588,0.78733697938578,0.555555555555556,0.9,0.531645613941777,0,0,2.22292725364057,0,0,0,0,1.34039020484884,1.36081296127563,80,1.62
"724","Amasaki15","Amasaki15-NB","ALLJURECZKO-pbeans1.csv",3,0,6,17,0.260869565217391,0.260869565217391,0,0.759152907394113,0.115384615384615,0.15,0.197814142018736,0,0,0.552057042070892,0,0,0,0,0.3430384542527,0.506818752836703,80,1.3
"725","Amasaki15","Amasaki15-NB","ALLJURECZKO-pbeans2.csv",4,5,36,6,0.421052631578947,0.549618320610687,0.121951219512195,0.798347107438017,0.176470588235294,0.4,0.289578972677501,0,0,0.290305510875244,0,0,0,0,0.820666267703969,1.06568277604456,80,2.26666666666667
"726","Amasaki15","Amasaki15-NB","ALLJURECZKO-pdftranslator.csv",7,2,16,8,0.583333333333333,0.612021857923497,0.111111111111111,0.778410889522001,0.272727272727273,0.466666666666667,0.397523195999963,0,0,1.15797686245539,0,0,0,0,0.887926408585665,1.01283347045681,80,1.71111111111111
"727","Amasaki15","Amasaki15-NB","ALLJURECZKO-poi-1.5.csv",122,68,28,19,0.737160120845921,0.436270753512133,0.708333333333333,0.799559789276178,0.80168776371308,0.865248226950355,0.19318954076497,0,0,2.03034238357617,0,0,0,0,1.08071762587251,1.08071858020271,80,1.07928331466965
"728","Amasaki15","Amasaki15-NB","ALLJURECZKO-poi-2.0.csv",32,235,42,5,0.210526315789474,0.258014974083317,0.848375451263538,0.799830419336489,0.85031847133758,0.864864864864865,0.0149018915481501,0,0,0.344762771329028,0,0,0,0,1.04822645974882,1.04871743673105,80,1.01710699463508
"729","Amasaki15","Amasaki15-NB","ALLJURECZKO-poi-2.5.csv",232,95,42,16,0.80695652173913,0.461800947867298,0.693430656934307,0.799826277238142,0.849350649350649,0.935483870967742,0.323973214137189,0,0,1.55748026568156,0,0,0,0,1.13448576181905,1.13499763969857,80,1.10141067376936
"730","Amasaki15","Amasaki15-NB","ALLJURECZKO-poi-3.0.csv",253,87,74,28,0.814814814814815,0.608578347717262,0.540372670807453,0.799639673076774,0.769230769230769,0.900355871886121,0.411158040933408,0,0,1.64543458775423,0,0,0,0,1.14777593816077,1.14799160177529,80,1.17046263345196
"731","Amasaki15","Amasaki15-NB","ALLJURECZKO-redaktor.csv",23,117,32,4,0.275449101796407,0.343043579585178,0.785234899328859,0.799072199730094,0.795454545454545,0.851851851851852,0.0595174765519467,3,0.000775786713286713,0.27012674236371,0.0312791375291375,0.0170454545454545,0.0455128205128205,0.0278529480178798,1.06846981955541,1.06847256950318,80,1.07089947089947
"732","Amasaki15","Amasaki15-NB","ALLJURECZKO-serapion.csv",8,25,11,1,0.380952380952381,0.454780361757106,0.694444444444444,0.798952879581152,0.733333333333333,0.888888888888889,0.175881617670362,0,0,0.794706683569257,0,0,0,0,1.16021260440395,1.16127795388579,80,1.21212121212121
"733","Amasaki15","Amasaki15-NB","ALLJURECZKO-skarbonka.csv",9,20,16,0,0.473684210526316,0.615384615384615,0.555555555555556,0.799520926209329,0.644444444444444,1,0.371390676354104,1,0.00200501253132832,0.571935401614553,0.0562238930659983,0.0222222222222222,0.0902255639097744,0.0447773662839645,1.38507476747484,1.3931322320079,80,1.55172413793104
"734","Amasaki15","Amasaki15-NB","ALLJURECZKO-sklebagd.csv",7,2,6,5,0.666666666666667,0.65625,0.25,0.784940637367215,0.45,0.583333333333333,0.328243975944887,0,0,0.797040266752699,0,0,0,0,0.944714775241259,0.981504127476794,80,1.2962962962963
"735","Amasaki15","Amasaki15-NB","ALLJURECZKO-synapse-1.0.csv",13,127,14,3,0.166666666666667,0.176956733106466,0.900709219858156,0.799972228008054,0.89171974522293,0.8125,-0.0858805960998133,0,0,0.677170667686005,0,0,0,0,0.960576763213218,0.961992581431934,80,0.911160714285714
"736","Amasaki15","Amasaki15-NB","ALLJURECZKO-synapse-1.1.csv",48,119,43,12,0.422907488986784,0.398609501738123,0.734567901234568,0.799773060375396,0.752252252252252,0.8,0.0673107458492655,0,0,1.19209094428715,0,0,0,0,1.03091102121983,1.03139459942111,80,1.06347305389222
"737","Amasaki15","Amasaki15-NB","ALLJURECZKO-synapse-1.2.csv",73,130,40,13,0.505190311418685,0.368454258675079,0.764705882352941,0.79988785046729,0.79296875,0.848837209302326,0.0980720992103785,0,0,1.39606565844762,0,0,0,0,1.06580493065516,1.06581498606531,80,1.07045480581968
"738","Amasaki15","Amasaki15-NB","ALLJURECZKO-systemdata.csv",7,30,26,2,0.304347826086957,0.5814696485623,0.535714285714286,0.798329123761414,0.569230769230769,0.777777777777778,0.168835856270785,0,0,0.434739097407929,0,0,0,0,1.13746795553652,1.15377297011574,80,1.36636636636637
"739","Amasaki15","Amasaki15-NB","ALLJURECZKO-szybkafucha.csv",10,7,4,4,0.645161290322581,0.481927710843373,0.636363636363636,0.796335078534031,0.68,0.714285714285714,0.0829184989234173,0,0,5.13190631268107,0,0,0,0,0.967647148227331,0.970665479065599,80,1.05042016806723
"740","Amasaki15","Amasaki15-NB","ALLJURECZKO-termoproject.csv",8,4,25,5,0.64,0.718132854578097,0.137931034482759,0.798155115912125,0.285714285714286,0.615384615384615,0.488596756488342,0,0,1.03106420987735,0,0,0,0,1.13553277629425,1.28865601734684,80,2.15384615384615
"741","Amasaki15","Amasaki15-NB","ALLJURECZKO-tomcat.csv",66,669,112,11,0.16256157635468,0.245703839122486,0.856594110115237,0.79999268310529,0.856643356643357,0.857142857142857,0.000447555434621231,1,9.33799499688137e-06,0.244554865785616,0.00458875043641269,0.00116550116550117,0.00801199970732421,0.00305581331185028,1.03479923963613,1.0354048079551,80,1.00058309037901
